record_id,title,journal,author,old_doi,retraction_doi,original_paper_doi,doi_for_requesting,...7
15299,Collective Revelry Via Network and Group Psychological Motive of Chinese Netizens,"2011 2nd Intl Conf on Artificial Intelligence, Management Science and Electronic Commerce",Huiying Liu,NA,10.1109/AIMSEC.2011.6011259,NA,https://api.openalex.org/W1575132590,NA
15352,"Construction of Counseling Knowledge Based on the Specialized, Professional and Expertise of University Counselors","2011 2nd Intl Conf on Artificial Intelligence, Management Science and Electronic Commerce",Zhang Ming;Fang Qinli,NA,10.1109/AIMSEC.2011.6011241,NA,https://api.openalex.org/works/filter=id.doi:https://doi.org/10.1109/AIMSEC.2011.6011241,NA
16127,Leaders' influence tactics: A study of Chinese employees,"2011 2nd Intl Conf on Artificial Intelligence, Management Science and Electronic Commerce",Jiasheng Sun,NA,10.1109/AIMSEC.2011.6011112,NA,https://api.openalex.org/W1559894148,NA
15208,Study of Staff Internal Mobility in HRM,"2011 2nd Intl Conf on Artificial Intelligence, Management Science and Electronic Commerce",Gao Ying;Zhou Fang,NA,10.1109/AIMSEC.2011.6010623,NA,https://api.openalex.org/works/filter=id.doi:https://doi.org/10.1109/AIMSEC.2011.6010623,NA
15345,Suggestion for University Students' Ideological and Political Education,"2011 2nd Intl Conf on Artificial Intelligence, Management Science and Electronic Commerce",Yiyou,NA,10.1109/AIMSEC.2011.6010247,NA,https://api.openalex.org/works/filter=id.doi:http://dx.doi.org/10.1109/AIMSEC.2011.6010247,NA
15353,The Test of Full Model Between Competency and Job Performance â€” A Case of College Counselor,"2011 2nd Intl Conf on Artificial Intelligence, Management Science and Electronic Commerce",Wen-Ming Su;Wei-li Wu,NA,10.1109/AIMSEC.2011.6009635,NA,https://api.openalex.org/works/filter=id.doi:https://doi.org/10.1109/AIMSEC.2011.6009635,NA
2249,The effectiveness of Korean number naming on insight into numbers in Dutch students with mild intellectual disabilities,Research in Developmental Disabilities,Johannes E H Van Luit;MariÃ«t J Van der Molen,10.1016/j.ridd.2011.03.014,10.1016/j.ridd.2011.08.004,10.1016/j.ridd.2011.03.014,https://api.openalex.org/W1983115746,NA
4708,Improving Treatment of Adolescent Depression in Primary Care: Clinician Training Enhancements for Nonmental Health Providers and Lessons Learned From Anticipatory Guidance and Treatment Adherence Interventionsjcap_255,"Journal of Child and Adolescent Psychiatric Nursing: Official Publication of the Association of Child and Adolescent Psychiatric Nurses, Inc (JCAPN)",Scott Weber;Kathryn R Puskar;Duanxu Ren,10.1111/j.1744-6171.2010.00255.x,10.1111/j.1744-6171.2011.00286.x,10.1111/j.1744-6171.2010.00255.x,NA,NA
15759,An Analysis and Managerial Application on Work-family Conflict,2011 International Conference on Business Management and Electronic Information,Ping Xiao;Weifen Pu,NA,10.1109/ICBMEI.2011.5916993,NA,https://api.openalex.org/works/filter=id.doi:https://doi.org/10.1109/ICBMEI.2011.5916993,NA
15443,An Empirical Research on the Influence of Psychological Contract Violations on Customer Complaint Behavior,2011 International Conference on Business Management and Electronic Information,Tang Faliang,NA,10.1109/ICBMEI.2011.5920343,NA,https://api.openalex.org/works/filter=id.doi:https://doi.org/10.1109/ICBMEI.2011.5920343,NA
15441,Analysis on Current Situation and Developing Strategy of Tourism Market of College Students in Taiyuan,2011 International Conference on Business Management and Electronic Information,Hong-xia Yan,NA,10.1109/ICBMEI.2011.5920999,NA,https://api.openalex.org/works/filter=id.doi:https://doi.org/10.1109/ICBMEI.2011.5920999,NA
15578,"Citizens' Communal Coping Strategies to unFairness in Public Administration Domain: The Effects of Gender, Education and Trust in Government",2011 International Conference on Business Management and Electronic Information,Lin Jingyu;Zhou Jie;Li Yongjuan,NA,NA,NA,http://api.openalex.org/works/filter=id.doi:https://doi.org/10.1109/ICBMEI.2011.5918028,NA
15445,Incentive Research of Enterprise Employees Based on Psychology Contract Duality Classifies Model,2011 International Conference on Business Management and Electronic Information,Yu Zhitao;Liu Fen,NA,NA,NA,http://api.openalex.org/works/filter=id.doi:https://doi.org/10.1109/ICBMEI.2011.5916919,NA
15559,Measurement and Management on the Customer-based bBand Equity,2011 International Conference on Business Management and Electronic Information,Yijing Li;Yingchao Li,NA,NA,NA,http://api.openalex.org/works/filter=id.doi:https://doi.org/10.1109/ICBMEI.2011.5920932,NA
15565,Organization-level Stress Interventions: EAP Perspective,2011 International Conference on Business Management and Electronic Information,Zhun Gong;Yong Wang;Kan Zhang,NA,NA,NA,http://api.openalex.org/works/filter=id.doi:https://doi.org/10.1109/ICBMEI.2011.5916983,NA
15805,Perceived International Risk and Adaptive Marketing Tactics â€” On the Contingent Perspective of Global Marketing Theory,2011 International Conference on Business Management and Electronic Information,Wei Li;Yiqian Wan;Hui Xu,NA,NA,NA,http://api.openalex.org/works/filter=id.doi:https://doi.org/10.1109/ICBMEI.2011.5917848,NA
15595,Research on the Application of 4Ps Marketing Theory Based on Chinese Consumer Psychology,2011 International Conference on Business Management and Electronic Information,Liangfang Huang;Lingling Wang,NA,NA,NA,http://api.openalex.org/works/filter=id.doi:https://doi.org/10.1109/ICBMEI.2011.5916956,NA
15818,Research on the Relationship Between Perceived Organizational Support and Organizational Commitment: Evidence in China Context,2011 International Conference on Business Management and Electronic Information,Liao Shao-hong;Song Chun-ling,NA,NA,NA,http://api.openalex.org/works/filter=id.doi:https://doi.org/10.1109/ICBMEI.2011.5920441,NA
15561,The Impact of Job Characteristics on Job Burnout and Work Performance of Young Employees,2011 International Conference on Business Management and Electronic Information,Ting Nie;Ling Zhang,NA,NA,NA,http://api.openalex.org/works/filter=id.doi:https://doi.org/10.1109/ICBMEI.2011.5920430,NA
9829,A Neuroscience Lens to MIS Researh: NeuroIS,2011 International Conference on E-Business and E-Government (ICEE),Qing Xu;Tong Wang;Pengshuai Chen;Qianqian Zhu;Qiang Sheng;Qingguo Ma,NA,NA,NA,http://api.openalex.org/works/filter=id.doi:https://doi.org/10.1109/ICEBEG.2011.5882760,NA
9444,"A Relational Study on Personality Trait, Achievement Goal, and Test Anxiety in High School Students",2011 International Conference on E-Business and E-Government (ICEE),Rong Yao;Shanggui Song,NA,NA,NA,http://api.openalex.org/works/filter=id.doi:https://doi.org/10.1109/ICEBEG.2011.5887017,NA
9148,Comparative Study of Individual Knowledge Point & Knowledge Point Series-paralle Teaching in Computer Basic Teaching,2011 International Conference on E-Business and E-Government (ICEE),Yang Zhe,NA,NA,NA,http://api.openalex.org/works/filter=id.doi:https://doi.org/10.1109/ICEBEG.2011.5887052,NA
8993,Compensation system based on psychological contract for knowledge staff in high technology enterprise,2011 International Conference on E-Business and E-Government (ICEE),Zhou Bo;Pang Xiaohui,NA,NA,NA,http://api.openalex.org/works/filter=id.doi:https://doi.org/10.1109/ICEBEG.2011.5887053,NA
9933,"Consumer Bounded Rationality, Network Externality and the Evolution of E-Business Network Industry",2011 International Conference on E-Business and E-Government (ICEE),Huang Chunchun;Zhou Yean,NA,NA,NA,http://api.openalex.org/works/filter=id.doi:https://doi.org/10.1109/ICEBEG.2011.5886813,NA
14368,Effect of corporate philanthropy on consumers' purchasing intention,2011 International Conference on E-Business and E-Government (ICEE),Yao Qi,NA,NA,NA,http://api.openalex.org/works/filter=id.doi:https://doi.org/10.1109/ICEBEG.2011.5886830,NA
9655,Emotionalized design in web-based curriculum,2011 International Conference on E-Business and E-Government (ICEE),Min Wang;Chaochen Liu;Ping Yang,NA,NA,NA,http://api.openalex.org/works/filter=https://doi.org/10.1109/ICEBEG.2011.5881505,NA
9233,Empirical Study on Chinese Employee's Career Development,2011 International Conference on E-Business and E-Government (ICEE),Yao Hui,NA,NA,NA,http://api.openalex.org/works/filter=https://doi.org/10.1109/ICEBEG.2011.5881321,NA
8762,How to Build up the Teaching Mode of Develop Thinking,2011 International Conference on E-Business and E-Government (ICEE),Guan Xiaoming;Huang Xiangsheng;Wang Huaiping,NA,NA,NA,http://api.openalex.org/works/filter=https://doi.org/10.1109/ICEBEG.2011.5887102,NA
9679,Investment Strategy for China Stock Market,2011 International Conference on E-Business and E-Government (ICEE),Tu Niansong;Long Jinru,NA,NA,NA,http://api.openalex.org/works/filter=https://doi.org/10.1109/ICEBEG.2011.5882383,NA
